codigo,anio_escolar,grado,asignatura,resultado
20092175,2020-2021,10,Reading and Writing,550
20092175,2020-2021,10,Math,480
20092175,2020-2021,10,Combinado,1030
20082018,2020-2021,10,Reading and Writing,500
20082018,2020-2021,10,Math,570
20082018,2020-2021,10,Combinado,1070
20082026,2020-2021,10,Reading and Writing,520
20082026,2020-2021,10,Math,420
20082026,2020-2021,10,Combinado,940
20082006,2020-2021,10,Reading and Writing,490
20082006,2020-2021,10,Math,730
20082006,2020-2021,10,Combinado,1220
20082048,2020-2021,10,Reading and Writing,410
20082048,2020-2021,10,Math,460
20082048,2020-2021,10,Combinado,870
20102122,2021-2022,10,Reading and Writing,560
20102122,2021-2022,10,Math,520
20102122,2021-2022,10,Combinado,1080
20102169,2021-2022,10,Reading and Writing,470
20102169,2021-2022,10,Math,520
20102169,2021-2022,10,Combinado,990
20102158,2021-2022,10,Reading and Writing,540
20102158,2021-2022,10,Math,510
20102158,2021-2022,10,Combinado,1050
20102182,2021-2022,10,Reading and Writing,460
20102182,2021-2022,10,Math,470
20102182,2021-2022,10,Combinado,930
20112201,2021-2022,10,Reading and Writing,530
20112201,2021-2022,10,Math,520
20112201,2021-2022,10,Combinado,1050
20150354,2021-2022,10,Reading and Writing,510
20150354,2021-2022,10,Math,520
20150354,2021-2022,10,Combinado,1030
20092001,2021-2022,10,Reading and Writing,410
20092001,2021-2022,10,Math,420
20092001,2021-2022,10,Combinado,830
20181119,2021-2022,10,Reading and Writing,630
20181119,2021-2022,10,Math,590
20181119,2021-2022,10,Combinado,1220
20092008,2021-2022,10,Reading and Writing,400
20092008,2021-2022,10,Math,400
20092008,2021-2022,10,Combinado,800
20082005,2021-2022,10,Reading and Writing,450
20082005,2021-2022,10,Math,430
20082005,2021-2022,10,Combinado,880
20102152,2021-2022,10,Reading and Writing,460
20102152,2021-2022,10,Math,430
20102152,2021-2022,10,Combinado,890
20102139,2021-2022,10,Reading and Writing,540
20102139,2021-2022,10,Math,510
20102139,2021-2022,10,Combinado,1050
20112202,2021-2022,10,Reading and Writing,610
20112202,2021-2022,10,Math,570
20112202,2021-2022,10,Combinado,1180
20092020,2021-2022,10,Reading and Writing,390
20092020,2021-2022,10,Math,490
20092020,2021-2022,10,Combinado,880
20210082,2021-2022,10,Reading and Writing,510
20210082,2021-2022,10,Math,520
20210082,2021-2022,10,Combinado,1030
20092026,2021-2022,10,Reading and Writing,530
20092026,2021-2022,10,Math,490
20092026,2021-2022,10,Combinado,1020
20092040,2021-2022,10,Reading and Writing,520
20092040,2021-2022,10,Math,510
20092040,2021-2022,10,Combinado,1030
20092171,2021-2022,10,Reading and Writing,420
20092171,2021-2022,10,Math,430
20092171,2021-2022,10,Combinado,850
20092027,2021-2022,10,Reading and Writing,480
20092027,2021-2022,10,Math,390
20092027,2021-2022,10,Combinado,870
20082020,2021-2022,10,Reading and Writing,380
20082020,2021-2022,10,Math,510
20082020,2021-2022,10,Combinado,890
20102145,2021-2022,10,Reading and Writing,440
20102145,2021-2022,10,Math,470
20102145,2021-2022,10,Combinado,910
20102144,2021-2022,10,Reading and Writing,520
20102144,2021-2022,10,Math,510
20102144,2021-2022,10,Combinado,1030
20102115,2021-2022,10,Reading and Writing,350
20102115,2021-2022,10,Math,480
20102115,2021-2022,10,Combinado,830
20092041,2021-2022,10,Reading and Writing,630
20092041,2021-2022,10,Math,570
20092041,2021-2022,10,Combinado,1200
20102141,2021-2022,10,Reading and Writing,370
20102141,2021-2022,10,Math,500
20102141,2021-2022,10,Combinado,870
20092037,2021-2022,10,Reading and Writing,650
20092037,2021-2022,10,Math,710
20092037,2021-2022,10,Combinado,1360
20092005,2021-2022,10,Reading and Writing,470
20092005,2021-2022,10,Math,480
20092005,2021-2022,10,Combinado,950
20120106,2021-2022,10,Reading and Writing,570
20120106,2021-2022,10,Math,570
20120106,2021-2022,10,Combinado,1140
20092006,2021-2022,10,Reading and Writing,520
20092006,2021-2022,10,Math,520
20092006,2021-2022,10,Combinado,1040
20092042,2021-2022,10,Reading and Writing,520
20092042,2021-2022,10,Math,540
20092042,2021-2022,10,Combinado,1060
20092043,2021-2022,10,Reading and Writing,370
20092043,2021-2022,10,Math,480
20092043,2021-2022,10,Combinado,850
20092007,2021-2022,10,Reading and Writing,480
20092007,2021-2022,10,Math,510
20092007,2021-2022,10,Combinado,990
20102186,2021-2022,10,Reading and Writing,470
20102186,2021-2022,10,Math,460
20102186,2021-2022,10,Combinado,930
20181189,2021-2022,10,Reading and Writing,420
20181189,2021-2022,10,Math,510
20181189,2021-2022,10,Combinado,930
20092021,2021-2022,10,Reading and Writing,480
20092021,2021-2022,10,Math,420
20092021,2021-2022,10,Combinado,900
20092010,2021-2022,10,Reading and Writing,480
20092010,2021-2022,10,Math,520
20092010,2021-2022,10,Combinado,1000
20092073,2021-2022,10,Reading and Writing,580
20092073,2021-2022,10,Math,570
20092073,2021-2022,10,Combinado,1150
20102106,2021-2022,10,Reading and Writing,420
20102106,2021-2022,10,Math,490
20102106,2021-2022,10,Combinado,910
20102163,2021-2022,10,Reading and Writing,510
20102163,2021-2022,10,Math,480
20102163,2021-2022,10,Combinado,990
20102148,2021-2022,10,Reading and Writing,630
20102148,2021-2022,10,Math,500
20102148,2021-2022,10,Combinado,1130
20092028,2021-2022,10,Reading and Writing,540
20092028,2021-2022,10,Math,550
20092028,2021-2022,10,Combinado,1090
20092060,2021-2022,10,Reading and Writing,560
20092060,2021-2022,10,Math,550
20092060,2021-2022,10,Combinado,1110
20102146,2021-2022,10,Reading and Writing,420
20102146,2021-2022,10,Math,430
20102146,2021-2022,10,Combinado,850
20181192,2021-2022,10,Reading and Writing,470
20181192,2021-2022,10,Math,500
20181192,2021-2022,10,Combinado,970
20102157,2021-2022,10,Reading and Writing,570
20102157,2021-2022,10,Math,500
20102157,2021-2022,10,Combinado,1070
20102135,2021-2022,10,Reading and Writing,420
20102135,2021-2022,10,Math,510
20102135,2021-2022,10,Combinado,930
20102156,2021-2022,10,Reading and Writing,670
20102156,2021-2022,10,Math,610
20102156,2021-2022,10,Combinado,1280
20102107,2021-2022,10,Reading and Writing,590
20102107,2021-2022,10,Math,570
20102107,2021-2022,10,Combinado,1160
20092045,2021-2022,10,Reading and Writing,430
20092045,2021-2022,10,Math,490
20092045,2021-2022,10,Combinado,920
20140073,2021-2022,10,Reading and Writing,690
20140073,2021-2022,10,Math,740
20140073,2021-2022,10,Combinado,1430
20092011,2021-2022,10,Reading and Writing,520
20092011,2021-2022,10,Math,480
20092011,2021-2022,10,Combinado,1000
20092022,2021-2022,10,Reading and Writing,600
20092022,2021-2022,10,Math,510
20092022,2021-2022,10,Combinado,1110
20092025,2021-2022,10,Reading and Writing,670
20092025,2021-2022,10,Math,570
20092025,2021-2022,10,Combinado,1240
20120070,2021-2022,10,Reading and Writing,560
20120070,2021-2022,10,Math,500
20120070,2021-2022,10,Combinado,1060
20092012,2021-2022,10,Reading and Writing,530
20092012,2021-2022,10,Math,500
20092012,2021-2022,10,Combinado,1030
20092013,2021-2022,10,Reading and Writing,590
20092013,2021-2022,10,Math,520
20092013,2021-2022,10,Combinado,1110
20092014,2021-2022,10,Reading and Writing,440
20092014,2021-2022,10,Math,510
20092014,2021-2022,10,Combinado,950
20082015,2021-2022,10,Reading and Writing,450
20082015,2021-2022,10,Math,480
20082015,2021-2022,10,Combinado,930
20120096,2021-2022,10,Reading and Writing,400
20120096,2021-2022,10,Math,430
20120096,2021-2022,10,Combinado,830
20082019,2021-2022,10,Reading and Writing,400
20082019,2021-2022,10,Math,440
20082019,2021-2022,10,Combinado,840
20092018,2021-2022,10,Reading and Writing,560
20092018,2021-2022,10,Math,530
20092018,2021-2022,10,Combinado,1090
20092016,2021-2022,10,Reading and Writing,520
20092016,2021-2022,10,Math,500
20092016,2021-2022,10,Combinado,1020
20092070,2021-2022,10,Reading and Writing,400
20092070,2021-2022,10,Math,510
20092070,2021-2022,10,Combinado,910
20092015,2021-2022,10,Reading and Writing,650
20092015,2021-2022,10,Math,540
20092015,2021-2022,10,Combinado,1190
20210065,2021-2022,10,Reading and Writing,520
20210065,2021-2022,10,Math,550
20210065,2021-2022,10,Combinado,1070
20092054,2021-2022,10,Reading and Writing,490
20092054,2021-2022,10,Math,460
20092054,2021-2022,10,Combinado,950
