codigo,anio_escolar,grado,asignatura,resultado
20090158,2017-2018,10,Combinado,980
20052037,2017-2018,10,Reading and Writing,470
20052037,2017-2018,10,Math,480
20052037,2017-2018,10,Combinado,950
20052034,2017-2018,10,Reading and Writing,530
20052034,2017-2018,10,Math,470
20052034,2017-2018,10,Combinado,1000
20052035,2017-2018,10,Reading and Writing,480
20052035,2017-2018,10,Math,510
20052035,2017-2018,10,Combinado,990
20052036,2017-2018,10,Reading and Writing,620
20052036,2017-2018,10,Math,510
20052036,2017-2018,10,Combinado,1130
20052041,2017-2018,10,Reading and Writing,520
20052041,2017-2018,10,Math,460
20052041,2017-2018,10,Combinado,980
20052039,2017-2018,10,Reading and Writing,450
20052039,2017-2018,10,Math,530
20052039,2017-2018,10,Combinado,980
20052040,2017-2018,10,Reading and Writing,550
20052040,2017-2018,10,Math,490
20052040,2017-2018,10,Combinado,1040
20042049,2017-2018,10,Reading and Writing,500
20042049,2017-2018,10,Math,580
20042049,2017-2018,10,Combinado,1080
20072261,2017-2018,10,Reading and Writing,500
20072261,2017-2018,10,Math,490
20072261,2017-2018,10,Combinado,990
20062194,2017-2018,10,Reading and Writing,580
20062194,2017-2018,10,Math,490
20062194,2017-2018,10,Combinado,1070
20052038,2017-2018,10,Reading and Writing,560
20052038,2017-2018,10,Math,550
20052038,2017-2018,10,Combinado,1110
20062146,2017-2018,10,Reading and Writing,530
20062146,2017-2018,10,Math,540
20062146,2017-2018,10,Combinado,1070
20052043,2017-2018,10,Reading and Writing,580
20052043,2017-2018,10,Math,520
20052043,2017-2018,10,Combinado,1100
20052044,2017-2018,10,Reading and Writing,610
20052044,2017-2018,10,Math,480
20052044,2017-2018,10,Combinado,1090
20072249,2017-2018,10,Reading and Writing,490
20072249,2017-2018,10,Math,530
20072249,2017-2018,10,Combinado,1020
20052045,2017-2018,10,Reading and Writing,570
20052045,2017-2018,10,Math,560
20052045,2017-2018,10,Combinado,1130
20052047,2017-2018,10,Reading and Writing,510
20052047,2017-2018,10,Math,460
20052047,2017-2018,10,Combinado,970
20052047,2017-2018,10,Reading and Writing,470
20052047,2017-2018,10,Math,480
20052047,2017-2018,10,Combinado,950
20092272,2018-2019,10,Reading and Writing,520
20092272,2018-2019,10,Math,430
20092272,2018-2019,10,Combinado,950
20072128,2018-2019,10,Reading and Writing,560
20072128,2018-2019,10,Math,480
20072128,2018-2019,10,Combinado,1040
20062002,2018-2019,10,Reading and Writing,440
20062002,2018-2019,10,Math,520
20062002,2018-2019,10,Combinado,960
20072130,2018-2019,10,Reading and Writing,460
20072130,2018-2019,10,Math,450
20072130,2018-2019,10,Combinado,910
20092374,2018-2019,10,Reading and Writing,470
20092374,2018-2019,10,Math,400
20092374,2018-2019,10,Combinado,870
20072132,2018-2019,10,Reading and Writing,530
20072132,2018-2019,10,Math,530
20072132,2018-2019,10,Combinado,1060
20062005,2018-2019,10,Reading and Writing,350
20062005,2018-2019,10,Math,420
20062005,2018-2019,10,Combinado,770
20062004,2018-2019,10,Reading and Writing,390
20062004,2018-2019,10,Math,430
20062004,2018-2019,10,Combinado,820
20062006,2018-2019,10,Reading and Writing,430
20062006,2018-2019,10,Math,440
20062006,2018-2019,10,Combinado,870
20062008,2018-2019,10,Reading and Writing,380
20062008,2018-2019,10,Math,400
20062008,2018-2019,10,Combinado,780
20062007,2018-2019,10,Reading and Writing,340
20062007,2018-2019,10,Math,380
20062007,2018-2019,10,Combinado,720
20062010,2018-2019,10,Reading and Writing,430
20062010,2018-2019,10,Math,410
20062010,2018-2019,10,Combinado,840
20062011,2018-2019,10,Reading and Writing,390
20062011,2018-2019,10,Math,450
20062011,2018-2019,10,Combinado,840
20120084,2018-2019,10,Reading and Writing,590
20120084,2018-2019,10,Math,540
20120084,2018-2019,10,Combinado,1130
20062012,2018-2019,10,Reading and Writing,540
20062012,2018-2019,10,Math,490
20062012,2018-2019,10,Combinado,1030
20062193,2018-2019,10,Reading and Writing,350
20062193,2018-2019,10,Math,270
20062193,2018-2019,10,Combinado,620
20062014,2018-2019,10,Reading and Writing,370
20062014,2018-2019,10,Math,370
20062014,2018-2019,10,Combinado,740
20062013,2018-2019,10,Reading and Writing,350
20062013,2018-2019,10,Math,380
20062013,2018-2019,10,Combinado,730
20072242,2018-2019,10,Reading and Writing,360
20072242,2018-2019,10,Math,360
20072242,2018-2019,10,Combinado,720
20062015,2018-2019,10,Reading and Writing,540
20062015,2018-2019,10,Math,450
20062015,2018-2019,10,Combinado,990
20072160,2018-2019,10,Reading and Writing,450
20072160,2018-2019,10,Math,540
20072160,2018-2019,10,Combinado,990
